Date,Close
3/2/2015 16:00:00,14.36
3/3/2015 16:00:00,14.35
3/4/2015 16:00:00,14.4
3/5/2015 16:00:00,14.55
3/6/2015 16:00:00,14.06
3/9/2015 16:00:00,14.31
3/10/2015 16:00:00,14.32
3/11/2015 16:00:00,14.31
3/12/2015 16:00:00,14.31
3/13/2015 16:00:00,14.3
3/16/2015 16:00:00,14.25
3/17/2015 16:00:00,14.32
3/18/2015 16:00:00,14.35
3/19/2015 16:00:00,14.4
3/20/2015 16:00:00,14.36
3/23/2015 16:00:00,14.3
3/24/2015 16:00:00,14.25
3/25/2015 16:00:00,14.25
3/26/2015 16:00:00,14.32
3/27/2015 16:00:00,14.22
3/30/2015 16:00:00,14.32
3/31/2015 16:00:00,14.04
4/1/2015 16:00:00,14.14
4/2/2015 16:00:00,14.01
4/6/2015 16:00:00,14.03
4/7/2015 16:00:00,14.05
4/8/2015 16:00:00,14.15
4/9/2015 16:00:00,14.2
4/10/2015 16:00:00,14.25
4/13/2015 16:00:00,14.07
4/14/2015 16:00:00,14.4
4/15/2015 16:00:00,14.55
4/16/2015 16:00:00,14.3
4/17/2015 16:00:00,14.45
4/20/2015 16:00:00,14.32
4/21/2015 16:00:00,14.22
4/22/2015 16:00:00,14.22
4/23/2015 16:00:00,14.43
4/24/2015 16:00:00,14.2
4/27/2015 16:00:00,14.35
4/28/2015 16:00:00,14.33
4/29/2015 16:00:00,14.34
4/30/2015 16:00:00,14.29
5/1/2015 16:00:00,14.35
5/4/2015 16:00:00,14.3
5/5/2015 16:00:00,14.1
5/6/2015 16:00:00,14.02
5/7/2015 16:00:00,14.22
5/8/2015 16:00:00,14.31
5/11/2015 16:00:00,14.35
5/12/2015 16:00:00,14.3
5/13/2015 16:00:00,14.1
5/14/2015 16:00:00,14.07
5/15/2015 16:00:00,14.2
5/19/2015 16:00:00,14.31
5/20/2015 16:00:00,14.36
5/21/2015 16:00:00,14.39
5/22/2015 16:00:00,14.4
5/25/2015 16:00:00,14.55
5/26/2015 16:00:00,14.53
5/27/2015 16:00:00,14.6
5/28/2015 16:00:00,14.47
5/29/2015 16:00:00,14.4
6/1/2015 16:00:00,14.6
6/2/2015 16:00:00,14.6
6/3/2015 16:00:00,14.6
6/4/2015 16:00:00,14.6
6/5/2015 16:00:00,14.69
6/8/2015 16:00:00,14.5
6/9/2015 16:00:00,14.48
6/10/2015 16:00:00,14.5
6/11/2015 16:00:00,14.8
6/12/2015 16:00:00,14.55
6/15/2015 16:00:00,14.47
6/16/2015 16:00:00,14.49
6/17/2015 16:00:00,14.66
6/18/2015 16:00:00,14.75
6/19/2015 16:00:00,15
6/23/2015 16:00:00,14.91
6/24/2015 16:00:00,14.8
6/25/2015 16:00:00,14.96
6/26/2015 16:00:00,15.05
6/29/2015 16:00:00,14.9
6/30/2015 16:00:00,15.03
7/2/2015 16:00:00,14.97
7/3/2015 16:00:00,15
7/6/2015 16:00:00,14.95
7/7/2015 16:00:00,14.99
7/8/2015 16:00:00,14.95
7/9/2015 16:00:00,14.84
7/10/2015 16:00:00,14.99
7/13/2015 16:00:00,14.95
7/14/2015 16:00:00,14.95
7/15/2015 16:00:00,14.88
7/16/2015 16:00:00,15.1
7/17/2015 16:00:00,15.2
7/20/2015 16:00:00,15.21
7/21/2015 16:00:00,15.18
7/22/2015 16:00:00,15.09
7/23/2015 16:00:00,14.94
7/24/2015 16:00:00,14.89
7/27/2015 16:00:00,14.95
7/28/2015 16:00:00,14.5
7/29/2015 16:00:00,14.59
7/30/2015 16:00:00,14.8
7/31/2015 16:00:00,14.73
8/4/2015 16:00:00,14.72
8/5/2015 16:00:00,15.07
8/6/2015 16:00:00,14.89
8/7/2015 16:00:00,14.82
8/10/2015 16:00:00,14.5
8/11/2015 16:00:00,14.59
8/12/2015 16:00:00,14.72
8/13/2015 16:00:00,14.55
8/14/2015 16:00:00,14.3
8/17/2015 16:00:00,13.94
8/18/2015 16:00:00,13.92
8/19/2015 16:00:00,14
8/20/2015 16:00:00,14.09
8/21/2015 16:00:00,14.05
8/24/2015 16:00:00,13.75
8/25/2015 16:00:00,14.04
8/26/2015 16:00:00,14.1
8/27/2015 16:00:00,14.1
8/28/2015 16:00:00,14.28
8/31/2015 16:00:00,14.34
9/1/2015 16:00:00,14.31
9/2/2015 16:00:00,14.5
9/3/2015 16:00:00,14.35
9/4/2015 16:00:00,14.2
9/8/2015 16:00:00,13.86
9/9/2015 16:00:00,13.6
9/10/2015 16:00:00,13.75
9/11/2015 16:00:00,13.65
9/14/2015 16:00:00,13.53
9/15/2015 16:00:00,13.68
9/16/2015 16:00:00,13.67
9/17/2015 16:00:00,13.66
9/18/2015 16:00:00,13.6
9/21/2015 16:00:00,13.78
9/22/2015 16:00:00,13.6
9/23/2015 16:00:00,13.6
9/24/2015 16:00:00,13.53
9/25/2015 16:00:00,13.5
9/28/2015 16:00:00,13.51
9/29/2015 16:00:00,13.34
9/30/2015 16:00:00,13.45
10/1/2015 16:00:00,13.29
10/2/2015 16:00:00,13.29
10/5/2015 16:00:00,13.35
10/6/2015 16:00:00,13.45
10/7/2015 16:00:00,13.6
10/8/2015 16:00:00,13.85
10/9/2015 16:00:00,13.85
10/13/2015 16:00:00,13.85
10/14/2015 16:00:00,13.84
10/15/2015 16:00:00,13.8
10/16/2015 16:00:00,14.05
10/19/2015 16:00:00,14
10/20/2015 16:00:00,13.7
10/21/2015 16:00:00,13.61
10/22/2015 16:00:00,13.96
10/23/2015 16:00:00,13.81
10/26/2015 16:00:00,13.96
10/27/2015 16:00:00,14
10/28/2015 16:00:00,14
10/29/2015 16:00:00,13.95
10/30/2015 16:00:00,14.1
11/2/2015 16:00:00,14.1
11/3/2015 16:00:00,14.15
11/4/2015 16:00:00,14.16
11/5/2015 16:00:00,14.3
11/6/2015 16:00:00,14.25
11/9/2015 16:00:00,14.25
11/10/2015 16:00:00,14.29
11/11/2015 16:00:00,14.1
11/12/2015 16:00:00,14.16
11/13/2015 16:00:00,14.1
11/16/2015 16:00:00,14.64
11/18/2015 16:00:00,14.42
11/24/2015 16:00:00,14.55
11/25/2015 16:00:00,14.6
11/27/2015 16:00:00,14.73
11/30/2015 16:00:00,14.7
12/1/2015 16:00:00,14.47
12/2/2015 16:00:00,14.71
12/3/2015 16:00:00,14.55
12/4/2015 16:00:00,14.55
12/7/2015 16:00:00,14.55
12/9/2015 16:00:00,14.5
12/10/2015 16:00:00,14.6
12/11/2015 16:00:00,14.6
12/14/2015 16:00:00,14.47
12/15/2015 16:00:00,14.47
12/16/2015 16:00:00,14.5
12/17/2015 16:00:00,14.81
12/18/2015 16:00:00,15.08
12/21/2015 16:00:00,14.75
12/22/2015 16:00:00,15
12/23/2015 16:00:00,15
12/24/2015 16:00:00,14.65
12/29/2015 16:00:00,14.62
12/30/2015 16:00:00,14.55
12/31/2015 16:00:00,14.66
1/4/2016 16:00:00,14.8
1/5/2016 16:00:00,14.55
1/7/2016 16:00:00,14.27
1/11/2016 16:00:00,14.4
1/12/2016 16:00:00,14.15
1/13/2016 16:00:00,14.01
1/14/2016 16:00:00,13.74
1/15/2016 16:00:00,13.6
1/18/2016 16:00:00,13.5
1/19/2016 16:00:00,13.6
1/20/2016 16:00:00,13.65
1/21/2016 16:00:00,14.09
1/22/2016 16:00:00,14.07
1/25/2016 16:00:00,14.3
1/26/2016 16:00:00,14.14
1/27/2016 16:00:00,14.25
1/28/2016 16:00:00,14.8
1/29/2016 16:00:00,14.75
2/1/2016 16:00:00,14.43
2/2/2016 16:00:00,14.66
