Date,Close
3/3/2015 16:00:00,4
3/12/2015 16:00:00,3.67
3/17/2015 16:00:00,3.36
3/20/2015 16:00:00,3.54
3/23/2015 16:00:00,3.54
3/24/2015 16:00:00,3.48
3/30/2015 16:00:00,3.49
4/2/2015 16:00:00,3.23
4/7/2015 16:00:00,3.07
4/8/2015 16:00:00,3.07
4/13/2015 16:00:00,2.9
4/17/2015 16:00:00,3.56
4/21/2015 16:00:00,3.84
4/22/2015 16:00:00,4.22
4/23/2015 16:00:00,4.13
4/24/2015 16:00:00,4.13
4/28/2015 16:00:00,4.14
4/30/2015 16:00:00,4.06
5/5/2015 16:00:00,3.96
5/6/2015 16:00:00,4
5/11/2015 16:00:00,3.84
5/12/2015 16:00:00,3.81
6/3/2015 16:00:00,2.75
6/9/2015 16:00:00,2.88
6/11/2015 16:00:00,2.76
6/12/2015 16:00:00,2.49
6/29/2015 16:00:00,2.84
6/30/2015 16:00:00,2.84
7/7/2015 16:00:00,2.86
7/10/2015 16:00:00,2.99
7/15/2015 16:00:00,3.03
7/22/2015 16:00:00,2.93
7/30/2015 16:00:00,2.61
8/10/2015 16:00:00,2.74
8/11/2015 16:00:00,2.72
8/12/2015 16:00:00,2.83
8/13/2015 16:00:00,2.83
8/14/2015 16:00:00,2.78
8/21/2015 16:00:00,2.73
8/24/2015 16:00:00,2.37
8/27/2015 16:00:00,2.66
8/28/2015 16:00:00,2.57
9/1/2015 16:00:00,2.63
9/4/2015 16:00:00,2.37
9/9/2015 16:00:00,3.12
9/10/2015 16:00:00,3.04
9/18/2015 16:00:00,2.94
9/21/2015 16:00:00,3.11
9/25/2015 16:00:00,3.28
9/29/2015 16:00:00,3.29
9/30/2015 16:00:00,3.44
10/1/2015 16:00:00,3.82
10/2/2015 16:00:00,3.8
10/5/2015 16:00:00,3.64
10/6/2015 16:00:00,3.56
10/7/2015 16:00:00,3.12
10/8/2015 16:00:00,3.16
10/13/2015 16:00:00,3.62
10/14/2015 16:00:00,3.5
10/19/2015 16:00:00,3.49
10/20/2015 16:00:00,3.8
10/21/2015 16:00:00,3.73
10/22/2015 16:00:00,3.83
10/23/2015 16:00:00,3.9
10/26/2015 16:00:00,4.39
10/27/2015 16:00:00,4.64
10/28/2015 16:00:00,4.89
10/30/2015 16:00:00,4.97
11/2/2015 16:00:00,5.04
11/3/2015 16:00:00,5.15
11/4/2015 16:00:00,5.52
11/5/2015 16:00:00,6.37
11/6/2015 16:00:00,5.73
11/9/2015 16:00:00,5.85
11/12/2015 16:00:00,5.65
11/13/2015 16:00:00,5.27
11/16/2015 16:00:00,5.77
11/17/2015 16:00:00,5.93
11/18/2015 16:00:00,5.95
11/19/2015 16:00:00,5.94
11/20/2015 16:00:00,5.74
11/30/2015 16:00:00,6.65
12/1/2015 16:00:00,6.19
12/2/2015 16:00:00,6.16
12/3/2015 16:00:00,6.02
12/4/2015 16:00:00,6
12/7/2015 16:00:00,5.93
12/8/2015 16:00:00,5.83
12/9/2015 16:00:00,5.76
12/10/2015 16:00:00,5.08
12/11/2015 16:00:00,5.01
12/15/2015 16:00:00,4.86
12/16/2015 16:00:00,5.01
12/17/2015 16:00:00,4.75
12/18/2015 16:00:00,4.83
12/21/2015 16:00:00,4.49
12/22/2015 16:00:00,4.4
12/23/2015 16:00:00,4.37
12/29/2015 16:00:00,4.82
12/30/2015 16:00:00,4.98
1/4/2016 16:00:00,4.97
1/5/2016 16:00:00,5.21
1/6/2016 16:00:00,5.18
1/7/2016 16:00:00,4.87
1/8/2016 16:00:00,5
1/11/2016 16:00:00,4.98
