Date,Close
9/21/2016 16:00:00,30.1
9/22/2016 16:00:00,28.9
9/23/2016 16:00:00,27.66
9/26/2016 16:00:00,27.77
9/27/2016 16:00:00,29.98
9/28/2016 16:00:00,33.39
9/29/2016 16:00:00,28.99
9/30/2016 16:00:00,29.21
10/3/2016 16:00:00,26.38
10/4/2016 16:00:00,23.83
10/5/2016 16:00:00,24.78
10/6/2016 16:00:00,26.08
10/7/2016 16:00:00,26.26
10/10/2016 16:00:00,25.28
10/11/2016 16:00:00,25.52
10/12/2016 16:00:00,26.9
10/13/2016 16:00:00,25.97
10/14/2016 16:00:00,26.36
10/17/2016 16:00:00,26.27
10/18/2016 16:00:00,25.88
10/19/2016 16:00:00,25.46
10/20/2016 16:00:00,26.49
10/21/2016 16:00:00,27.48
10/24/2016 16:00:00,28.52
10/25/2016 16:00:00,28.8
10/26/2016 16:00:00,28.18
10/27/2016 16:00:00,25.52
10/28/2016 16:00:00,25.61
10/31/2016 16:00:00,25.18
11/1/2016 16:00:00,25.24
11/2/2016 16:00:00,24.43
11/3/2016 16:00:00,22.9
11/4/2016 16:00:00,23.87
11/7/2016 16:00:00,22.9
11/8/2016 16:00:00,22.8
11/9/2016 16:00:00,22.95
11/10/2016 16:00:00,23.43
11/11/2016 16:00:00,25.45
11/14/2016 16:00:00,25.77
11/15/2016 16:00:00,25.25
11/16/2016 16:00:00,25.36
11/17/2016 16:00:00,25.93
11/18/2016 16:00:00,29.1
11/21/2016 16:00:00,29.33
11/22/2016 16:00:00,28.73
11/23/2016 16:00:00,30.19
11/25/2016 16:00:00,29.08
11/28/2016 16:00:00,26.7
11/29/2016 16:00:00,27.12
11/30/2016 16:00:00,26.58
12/1/2016 16:00:00,26.08
12/2/2016 16:00:00,26.2
12/5/2016 16:00:00,26.62
12/6/2016 16:00:00,28.1
12/7/2016 16:00:00,27.58
12/8/2016 16:00:00,27.41
12/9/2016 16:00:00,27.47
12/12/2016 16:00:00,29.36
12/13/2016 16:00:00,29.29
12/14/2016 16:00:00,28
12/15/2016 16:00:00,29.52
12/16/2016 16:00:00,29.23
12/19/2016 16:00:00,29.22
12/20/2016 16:00:00,31.1
12/21/2016 16:00:00,30.36
12/22/2016 16:00:00,30.32
12/23/2016 16:00:00,30.15
12/27/2016 16:00:00,29.94
12/28/2016 16:00:00,28.49
12/29/2016 16:00:00,28.38
12/30/2016 16:00:00,27.67
1/3/2017 16:00:00,26.93
1/4/2017 16:00:00,27.1
1/5/2017 16:00:00,27.45
1/6/2017 16:00:00,27.7
1/9/2017 16:00:00,28.44
1/10/2017 16:00:00,28.86
1/11/2017 16:00:00,29.75
1/12/2017 16:00:00,29.37
1/13/2017 16:00:00,29.35
1/17/2017 16:00:00,28.99
1/18/2017 16:00:00,29.01
1/19/2017 16:00:00,29
1/20/2017 16:00:00,29.26
1/23/2017 16:00:00,29.79
1/24/2017 16:00:00,29.65
1/25/2017 16:00:00,30.41
1/26/2017 16:00:00,30.78
1/27/2017 16:00:00,30.83
1/30/2017 16:00:00,29.75
1/31/2017 16:00:00,29.66
2/1/2017 16:00:00,29.59
2/2/2017 16:00:00,29.02
2/3/2017 16:00:00,28.92
2/6/2017 16:00:00,28.8
2/7/2017 16:00:00,28.55
2/8/2017 16:00:00,28.34
2/9/2017 16:00:00,29.04
2/10/2017 16:00:00,29.05
2/13/2017 16:00:00,30.06
2/14/2017 16:00:00,30.35
2/15/2017 16:00:00,31.67
2/16/2017 16:00:00,33.36
2/17/2017 16:00:00,32.41
2/21/2017 16:00:00,35
2/22/2017 16:00:00,34.3
2/23/2017 16:00:00,36.39
2/24/2017 16:00:00,37.32
2/27/2017 16:00:00,36.83
2/28/2017 16:00:00,42.21
3/1/2017 16:00:00,43.05
3/2/2017 16:00:00,42.44
3/3/2017 16:00:00,44.6
3/6/2017 16:00:00,42.34
3/7/2017 16:00:00,44.08
3/8/2017 16:00:00,43.31
3/9/2017 16:00:00,44.38
3/10/2017 16:00:00,45.79
3/13/2017 16:00:00,43.35
3/14/2017 16:00:00,41.22
3/15/2017 16:00:00,41.55
3/16/2017 16:00:00,40.18
3/17/2017 16:00:00,39.51
3/20/2017 16:00:00,38.1
3/21/2017 16:00:00,37.55
3/22/2017 16:00:00,38.64
3/23/2017 16:00:00,37.02
3/24/2017 16:00:00,36.02
3/27/2017 16:00:00,37.22
3/28/2017 16:00:00,36.49
3/29/2017 16:00:00,37.98
3/30/2017 16:00:00,36.73
3/31/2017 16:00:00,37.25
4/3/2017 16:00:00,37.02
4/4/2017 16:00:00,36.33
4/5/2017 16:00:00,37.05
4/6/2017 16:00:00,37.71
4/7/2017 16:00:00,36.99
4/10/2017 16:00:00,36.9
4/11/2017 16:00:00,37.55
4/12/2017 16:00:00,37.21
4/13/2017 16:00:00,36.85
4/17/2017 16:00:00,36.44
4/18/2017 16:00:00,35.19
4/19/2017 16:00:00,35.86
4/20/2017 16:00:00,36.23
4/21/2017 16:00:00,35.98
4/24/2017 16:00:00,36.47
4/25/2017 16:00:00,36.2
4/26/2017 16:00:00,36.33
4/27/2017 16:00:00,37.69
4/28/2017 16:00:00,37.35
5/1/2017 16:00:00,37.59
5/2/2017 16:00:00,38.28
5/3/2017 16:00:00,38.06
5/4/2017 16:00:00,39.85
5/5/2017 16:00:00,40.07
5/8/2017 16:00:00,40.39
5/9/2017 16:00:00,40.86
5/10/2017 16:00:00,40.05
5/11/2017 16:00:00,39.89
5/12/2017 16:00:00,51.9
5/15/2017 16:00:00,53.57
5/16/2017 16:00:00,52.2
5/17/2017 16:00:00,47.75
5/18/2017 16:00:00,51.38
5/19/2017 16:00:00,50.07
5/22/2017 16:00:00,52.51
5/23/2017 16:00:00,53.48
5/24/2017 16:00:00,51.5
5/25/2017 16:00:00,51.99
5/26/2017 16:00:00,52.24
5/30/2017 16:00:00,53.49
5/31/2017 16:00:00,55
6/1/2017 16:00:00,54.96
6/2/2017 16:00:00,56.96
6/5/2017 16:00:00,55.69
6/6/2017 16:00:00,55.84
6/7/2017 16:00:00,54.38
6/8/2017 16:00:00,55.44
6/9/2017 16:00:00,51.36
6/12/2017 16:00:00,50.05
6/13/2017 16:00:00,50.15
6/14/2017 16:00:00,49.24
6/15/2017 16:00:00,48.65
6/16/2017 16:00:00,49.93
6/19/2017 16:00:00,52.07
6/20/2017 16:00:00,50.89
6/21/2017 16:00:00,52.35
6/22/2017 16:00:00,51.85
6/23/2017 16:00:00,54.21
6/26/2017 16:00:00,53.08
6/27/2017 16:00:00,50.51
6/28/2017 16:00:00,52.54
6/29/2017 16:00:00,50.84
6/30/2017 16:00:00,50.11
7/3/2017 16:00:00,49.72
7/5/2017 16:00:00,49.88
7/6/2017 16:00:00,48.64
7/7/2017 16:00:00,49.9
7/10/2017 16:00:00,50.15
7/11/2017 16:00:00,51.17
7/12/2017 16:00:00,51.51
7/13/2017 16:00:00,50.8
