Date,Close
3/2/2015 16:00:00,53.38
3/3/2015 16:00:00,52.7
3/4/2015 16:00:00,52.47
3/5/2015 16:00:00,52.14
3/6/2015 16:00:00,51.19
3/9/2015 16:00:00,51.22
3/10/2015 16:00:00,49.4
3/11/2015 16:00:00,49.13
3/12/2015 16:00:00,49.73
3/13/2015 16:00:00,49.14
3/16/2015 16:00:00,49.91
3/17/2015 16:00:00,49.6
3/18/2015 16:00:00,50.23
3/19/2015 16:00:00,49.4
3/20/2015 16:00:00,50.43
3/23/2015 16:00:00,50.96
3/24/2015 16:00:00,51.14
3/25/2015 16:00:00,50.34
3/26/2015 16:00:00,50.25
3/27/2015 16:00:00,49.52
3/30/2015 16:00:00,49.41
3/31/2015 16:00:00,50.23
4/1/2015 16:00:00,50.3
4/2/2015 16:00:00,50.23
4/6/2015 16:00:00,50.59
4/7/2015 16:00:00,51.01
4/8/2015 16:00:00,50.75
4/9/2015 16:00:00,51.01
4/10/2015 16:00:00,51.22
4/13/2015 16:00:00,51.07
4/14/2015 16:00:00,51.75
4/15/2015 16:00:00,53.21
4/16/2015 16:00:00,53.95
4/17/2015 16:00:00,53.87
4/20/2015 16:00:00,54.18
4/21/2015 16:00:00,54.2
4/22/2015 16:00:00,54.41
4/23/2015 16:00:00,54.98
4/24/2015 16:00:00,54.97
4/27/2015 16:00:00,55.31
4/28/2015 16:00:00,56
4/29/2015 16:00:00,56.03
4/30/2015 16:00:00,55.17
5/1/2015 16:00:00,54.99
5/4/2015 16:00:00,55.52
5/5/2015 16:00:00,55.06
5/6/2015 16:00:00,54.74
5/7/2015 16:00:00,53.96
5/8/2015 16:00:00,54.1
5/11/2015 16:00:00,54.15
5/12/2015 16:00:00,54.17
5/13/2015 16:00:00,54.37
5/14/2015 16:00:00,54.32
5/15/2015 16:00:00,54.07
5/18/2015 16:00:00,53.59
5/19/2015 16:00:00,53.37
5/20/2015 16:00:00,52.83
5/21/2015 16:00:00,53.22
5/22/2015 16:00:00,52.52
5/26/2015 16:00:00,51.66
5/27/2015 16:00:00,51.74
5/28/2015 16:00:00,51.96
5/29/2015 16:00:00,52.67
6/1/2015 16:00:00,52.56
6/2/2015 16:00:00,53.33
6/3/2015 16:00:00,53.59
6/4/2015 16:00:00,53.05
6/5/2015 16:00:00,53.32
6/8/2015 16:00:00,52.61
6/9/2015 16:00:00,53.54
6/10/2015 16:00:00,54.05
6/11/2015 16:00:00,53.84
6/12/2015 16:00:00,53.39
6/15/2015 16:00:00,53.57
6/16/2015 16:00:00,53.46
6/17/2015 16:00:00,53.32
6/18/2015 16:00:00,53.23
6/19/2015 16:00:00,52.44
6/22/2015 16:00:00,52.87
6/23/2015 16:00:00,53.47
6/24/2015 16:00:00,53.49
6/25/2015 16:00:00,53.95
6/26/2015 16:00:00,54.07
6/29/2015 16:00:00,52.12
6/30/2015 16:00:00,51.63
7/1/2015 16:00:00,51.71
7/2/2015 16:00:00,50.52
7/6/2015 16:00:00,50.54
7/7/2015 16:00:00,50.53
7/8/2015 16:00:00,49.92
7/9/2015 16:00:00,49.58
7/10/2015 16:00:00,50.14
7/13/2015 16:00:00,50.21
7/14/2015 16:00:00,50.08
7/15/2015 16:00:00,49.6
7/16/2015 16:00:00,50.08
7/17/2015 16:00:00,49.55
7/20/2015 16:00:00,49.02
7/21/2015 16:00:00,48.82
7/22/2015 16:00:00,48.32
7/23/2015 16:00:00,48.02
7/24/2015 16:00:00,47.79
7/27/2015 16:00:00,46.86
7/28/2015 16:00:00,47.5
7/29/2015 16:00:00,48.89
7/30/2015 16:00:00,49.08
7/31/2015 16:00:00,49.11
8/3/2015 16:00:00,48.4
8/4/2015 16:00:00,48.18
8/5/2015 16:00:00,48.4
8/6/2015 16:00:00,47.83
8/7/2015 16:00:00,47.58
8/10/2015 16:00:00,48.48
8/11/2015 16:00:00,47.52
8/12/2015 16:00:00,47.7
8/13/2015 16:00:00,46.75
8/14/2015 16:00:00,46.94
8/17/2015 16:00:00,46.73
8/18/2015 16:00:00,46.45
8/19/2015 16:00:00,45.71
8/20/2015 16:00:00,44.79
8/21/2015 16:00:00,43.71
8/24/2015 16:00:00,42.2
8/25/2015 16:00:00,42.59
8/26/2015 16:00:00,43.96
8/27/2015 16:00:00,45.34
8/28/2015 16:00:00,45.13
8/31/2015 16:00:00,45.64
9/1/2015 16:00:00,44.04
9/2/2015 16:00:00,44
9/3/2015 16:00:00,44.75
9/4/2015 16:00:00,44.08
9/8/2015 16:00:00,45.05
9/9/2015 16:00:00,44.48
9/10/2015 16:00:00,44.38
9/11/2015 16:00:00,43.85
9/14/2015 16:00:00,43.91
9/15/2015 16:00:00,43.97
9/16/2015 16:00:00,45.12
9/17/2015 16:00:00,44.89
9/18/2015 16:00:00,44.03
9/21/2015 16:00:00,44.64
9/22/2015 16:00:00,43.82
9/23/2015 16:00:00,43.08
9/24/2015 16:00:00,43.02
9/25/2015 16:00:00,43.39
9/28/2015 16:00:00,42.83
9/29/2015 16:00:00,43.17
9/30/2015 16:00:00,44.08
10/1/2015 16:00:00,44.55
10/2/2015 16:00:00,43.48
10/5/2015 16:00:00,44.66
10/6/2015 16:00:00,45.59
10/7/2015 16:00:00,46.14
10/8/2015 16:00:00,46.6
10/9/2015 16:00:00,46.58
10/12/2015 16:00:00,46.22
10/13/2015 16:00:00,46.29
10/14/2015 16:00:00,46.17
10/15/2015 16:00:00,46.51
10/16/2015 16:00:00,46.67
10/19/2015 16:00:00,46.38
10/20/2015 16:00:00,46.78
10/21/2015 16:00:00,46.14
10/22/2015 16:00:00,47.04
10/23/2015 16:00:00,47.09
10/26/2015 16:00:00,46.94
10/27/2015 16:00:00,46.92
10/28/2015 16:00:00,47.83
10/29/2015 16:00:00,47.87
10/30/2015 16:00:00,46.98
11/2/2015 16:00:00,47.23
11/3/2015 16:00:00,47.45
11/4/2015 16:00:00,46.81
11/5/2015 16:00:00,46.71
11/6/2015 16:00:00,46.38
11/9/2015 16:00:00,45.93
11/10/2015 16:00:00,45.77
11/11/2015 16:00:00,45.89
11/12/2015 16:00:00,45.04
11/13/2015 16:00:00,44.3
11/16/2015 16:00:00,45.09
11/17/2015 16:00:00,45.48
11/18/2015 16:00:00,45.56
11/19/2015 16:00:00,45.72
11/20/2015 16:00:00,45.46
